timestamp,company,ltp,total_shares,market_cap,free_float_pct,free_float_mcap
2025-07-22 10:01:00,AGNISYSL,26.9,72556192.0,1951761564.8,69.97,1365647566.89056
2025-07-22 10:01:00,AIBL1STIMF,5.8,100000000.0,580000000.0,90.0,522000000.0
2025-07-22 10:01:00,AMBEEPHA,880.0,2400000.0,2112000000.0,22.75,480480000.0
2025-07-22 10:01:00,ARAMIT,201.5,6000000.0,1209000000.0,39.27,474774300.00000006
2025-07-22 10:01:00,CENTRALPHL,12.2,119800844.0,1461570296.8,92.33,1349467855.03544
2025-07-22 10:01:00,EXIM1STMF,4.9,143256343.0,701956080.7,78.03,547736329.77021
2025-07-22 10:01:00,IFILISLMF1,4.8,100000000.0,480000000.0,99.0,475200000.0
2025-07-22 10:01:00,KBPPWBIL,126.9,98079877.0,12446336391.300001,62.53,7782694145.47989
2025-07-22 10:01:00,LIBRAINFU,809.2,2252880.0,1823030496.0,65.58,1195543399.2768
2025-07-22 10:01:00,MIDLANDBNK,25.7,658859845.0,16932698016.5,23.400000000000006,3962251335.861001
2025-07-22 10:01:00,NEWLINE,7.6,78532650.0,596848140.0,69.39,414152924.34599996
2025-07-22 10:01:00,ONEBANKPLC,8.1,1065821887.0,8633157284.699999,69.06,5962058420.813819
2025-07-22 10:01:00,PREMIERCEM,49.0,105450000.0,5167050000.0,56.42,2915249610.0
2025-07-22 10:01:00,QUASEMIND,39.6,72726541.0,2879971023.6,70.0,2015979716.5199997
2025-07-22 10:01:00,SBACBANK,8.0,824191650.0,6593533200.0,31.810000000000002,2097402910.9200003
2025-07-22 10:01:00,1JANATAMF,3.5,289923349.0,1014731721.5,75.0,761048791.125
2025-07-22 10:01:00,ACMEPL,15.1,135000000.0,2038500000.0,68.2,1390257000.0
2025-07-22 10:01:00,ALIF,6.1,259927022.0,1585554834.1999998,69.53999999999999,1102594831.7026796
2025-07-22 10:01:00,EIL,34.7,65197464.0,2262352000.8,40.0,904940800.3200002
2025-07-22 10:01:00,FEKDIL,16.2,218744171.0,3543655570.2,32.81,1162673392.58262
2025-07-22 10:01:00,IBP,14.7,116205178.0,1708216116.6,75.57,1290898919.3146198
2025-07-22 10:01:00,IDLC,38.0,436483409.0,16586369542.0,43.34,7188532559.5028
2025-07-22 10:01:00,IFIC,6.3,1922086648.0,12109145882.4,67.25,8143400605.914
2025-07-22 10:01:00,INTRACO,21.9,98232750.0,2151297225.0,69.94,1504617279.165
2025-07-22 10:01:00,KPPL,20.3,73040000.0,1482712000.0,60.24,893185708.8000001
2025-07-22 10:01:00,MIRAKHTER,27.7,120771547.0,3345371851.9,51.42,1720190206.24698
2025-07-22 10:01:00,NBL,3.9,3219739570.0,12556984323.0,84.46000000000001,10605628959.205801
2025-07-22 10:01:00,SILVAPHL,11.2,136500000.0,1528800000.0,54.79,837629519.9999999
